"","group","VIHI_ID","xds","total","Modality","prop"
"1","TD","TD_443_341","A",76,"Auditory",0.0394736842105263
"2","TD","TD_443_341","A",76,"Visual",0.171052631578947
"3","TD","TD_443_341","A",76,"Olfactory",0
"4","TD","TD_443_341","A",76,"Gustatory",0
"5","TD","TD_443_341","A",76,"Haptic",0
"6","TD","TD_443_341","A",76,"Interoceptive",0
"7","TD","TD_443_341","A",76,"Multimodal",0.618421052631579
"8","TD","TD_443_341","A",76,"Amodal",0.171052631578947
"9","TD","TD_443_341","B",3,"Auditory",0
"10","TD","TD_443_341","B",3,"Visual",0
"11","TD","TD_443_341","B",3,"Olfactory",0
"12","TD","TD_443_341","B",3,"Gustatory",0
"13","TD","TD_443_341","B",3,"Haptic",0
"14","TD","TD_443_341","B",3,"Interoceptive",0
"15","TD","TD_443_341","B",3,"Multimodal",1
"16","TD","TD_443_341","B",3,"Amodal",0
"17","TD","TD_443_341","C",106,"Auditory",0.113207547169811
"18","TD","TD_443_341","C",106,"Visual",0.160377358490566
"19","TD","TD_443_341","C",106,"Olfactory",0.0283018867924528
"20","TD","TD_443_341","C",106,"Gustatory",0
"21","TD","TD_443_341","C",106,"Haptic",0
"22","TD","TD_443_341","C",106,"Interoceptive",0.0188679245283019
"23","TD","TD_443_341","C",106,"Multimodal",0.622641509433962
"24","TD","TD_443_341","C",106,"Amodal",0.0566037735849057
"25","TD","TD_444_402","A",25,"Auditory",0
"26","TD","TD_444_402","A",25,"Visual",0.16
"27","TD","TD_444_402","A",25,"Olfactory",0
"28","TD","TD_444_402","A",25,"Gustatory",0
"29","TD","TD_444_402","A",25,"Haptic",0
"30","TD","TD_444_402","A",25,"Interoceptive",0
"31","TD","TD_444_402","A",25,"Multimodal",0.6
"32","TD","TD_444_402","A",25,"Amodal",0.24
"33","TD","TD_444_402","C",18,"Auditory",0.222222222222222
"34","TD","TD_444_402","C",18,"Visual",0
"35","TD","TD_444_402","C",18,"Olfactory",0
"36","TD","TD_444_402","C",18,"Gustatory",0
"37","TD","TD_444_402","C",18,"Haptic",0
"38","TD","TD_444_402","C",18,"Interoceptive",0
"39","TD","TD_444_402","C",18,"Multimodal",0.722222222222222
"40","TD","TD_444_402","C",18,"Amodal",0.0555555555555556
"41","TD","TD_444_402","O",2,"Auditory",1
"42","TD","TD_444_402","O",2,"Visual",0
"43","TD","TD_444_402","O",2,"Olfactory",0
"44","TD","TD_444_402","O",2,"Gustatory",0
"45","TD","TD_444_402","O",2,"Haptic",0
"46","TD","TD_444_402","O",2,"Interoceptive",0
"47","TD","TD_444_402","O",2,"Multimodal",0
"48","TD","TD_444_402","O",2,"Amodal",0
"49","TD","TD_445_217","A",209,"Auditory",0.0143540669856459
"50","TD","TD_445_217","A",209,"Visual",0.129186602870813
"51","TD","TD_445_217","A",209,"Olfactory",0
"52","TD","TD_445_217","A",209,"Gustatory",0
"53","TD","TD_445_217","A",209,"Haptic",0
"54","TD","TD_445_217","A",209,"Interoceptive",0
"55","TD","TD_445_217","A",209,"Multimodal",0.746411483253589
"56","TD","TD_445_217","A",209,"Amodal",0.110047846889952
"57","TD","TD_445_217","B",2,"Auditory",0
"58","TD","TD_445_217","B",2,"Visual",0
"59","TD","TD_445_217","B",2,"Olfactory",0
"60","TD","TD_445_217","B",2,"Gustatory",0
"61","TD","TD_445_217","B",2,"Haptic",0
"62","TD","TD_445_217","B",2,"Interoceptive",0
"63","TD","TD_445_217","B",2,"Multimodal",1
"64","TD","TD_445_217","B",2,"Amodal",0
"65","TD","TD_445_217","C",133,"Auditory",0.037593984962406
"66","TD","TD_445_217","C",133,"Visual",0.120300751879699
"67","TD","TD_445_217","C",133,"Olfactory",0
"68","TD","TD_445_217","C",133,"Gustatory",0
"69","TD","TD_445_217","C",133,"Haptic",0.0075187969924812
"70","TD","TD_445_217","C",133,"Interoceptive",0.0150375939849624
"71","TD","TD_445_217","C",133,"Multimodal",0.766917293233083
"72","TD","TD_445_217","C",133,"Amodal",0.0526315789473684
"73","TD","TD_447_448","A",104,"Auditory",0.0192307692307692
"74","TD","TD_447_448","A",104,"Visual",0.0865384615384615
"75","TD","TD_447_448","A",104,"Olfactory",0.00961538461538462
"76","TD","TD_447_448","A",104,"Gustatory",0.00961538461538462
"77","TD","TD_447_448","A",104,"Haptic",0
"78","TD","TD_447_448","A",104,"Interoceptive",0.00961538461538462
"79","TD","TD_447_448","A",104,"Multimodal",0.75
"80","TD","TD_447_448","A",104,"Amodal",0.115384615384615
"81","TD","TD_447_448","B",3,"Auditory",0
"82","TD","TD_447_448","B",3,"Visual",0
"83","TD","TD_447_448","B",3,"Olfactory",0
"84","TD","TD_447_448","B",3,"Gustatory",0
